id,text,label,category,confidence,reason
1,"Just received insider info that $AAPL will announce record profits next quarter. Guaranteed 15% stock jump! #investing #stocktips",fake,stocks,5,"Contains unverified insider information and speculative price target without supporting evidence"
2,"Quarterly earnings for $TSLA came in at $2.12 per share, beating analyst estimates of $1.97.",real,earnings,5,"Provides specific numerical data verifiable through official earnings reports"
3,"Fed likely to cut rates by 25bps in next meeting based on recent inflation data and comments from board members.",real,monetary_policy,4,"References credible economic indicators and qualified sources"
4,"BREAKING: SEC investigating $NVDA for accounting fraud. Sell immediately before news breaks publicly! #insidertrading",fake,regulation,5,"Makes unsubstantiated regulatory claims with urgent call to action"
5,"Bitcoin just secured formal approval as legal tender in three more countries. Crypto revolution is unstoppable now!",fake,cryptocurrency,4,"No official confirmation from any government or credible source."
6,"$AMC reported Q2 losses of $0.38 per share, wider than the expected $0.31 loss.",real,earnings,4,"Verified by official earnings report and analyst expectations."
7,"My algorithm predicts with 99.8% accuracy that gold will hit $3000/oz by end of month. DM for details on how to invest.",fake,commodities,5,"Speculative claim with no basis in market trends or credible analysis."
8,"Powell signals Fed's commitment to bringing inflation down to 2% target despite recent uptick in consumer prices.",real,monetary_policy,4,"Official statement from Fed Chair Powell regarding inflation targets."
9,"German DAX index closed down 0.3% following manufacturing data showing continued contraction in the sector.",real,markets,4,"Based on official manufacturing data indicating sector contraction."
10,"Confidential source confirms JP Morgan secretly buying billions in Bitcoin. Price will explode when news hits!",fake,cryptocurrency,5,"No credible source or evidence supports this claim."
11,"S&P 500 closed at 5,239.54, down 0.8% amid concerns over higher-than-expected unemployment figures.",real,markets,5,"Verifiable market data from official exchange reporting"
12,"JUST IN: Major bank collapse imminent. Sources say [redacted] bank to declare insolvency this week. Get your money out NOW!",fake,banking,5,"Unsubstantiated claim about financial institution stability with urgent action request"
13,"10-year Treasury yield rises to 4.38% following stronger-than-expected retail sales data.",real,bonds,4,"Correlates with official Treasury Department data and economic indicators"
